"REF_AREA","INDICATOR","GENDER","AGE_CLASS","CITIZENSHIP","OBS_VALUE"
"034001","RESPOP_AV","T","Y70-79","ITL","288"
"034001","RESPOP_AV","T","Y70-79","TOTAL","293"
"034001","RESPOP_AV","T","Y80-89","ITL","180"
"034001","RESPOP_AV","T","Y80-89","TOTAL","180"
"034001","RESPOP_AV","T","Y90-99","FRGAPO","1"
"034001","RESPOP_AV","T","Y90-99","ITL","42"
"034001","RESPOP_AV","T","Y90-99","TOTAL","43"
"034002","RESPOP_AV","F","TOTAL","FRGAPO","97"
"034002","RESPOP_AV","F","TOTAL","ITL","881"
"034002","RESPOP_AV","F","TOTAL","TOTAL","978"
"034002","RESPOP_AV","F","Y_GE100","ITL","3"
"034002","RESPOP_AV","F","Y_GE100","TOTAL","3"
"034002","RESPOP_AV","F","Y0-9","FRGAPO","6"
"034002","RESPOP_AV","F","Y0-9","ITL","39"
"034002","RESPOP_AV","F","Y0-9","TOTAL","45"
"034002","RESPOP_AV","F","Y10-19","FRGAPO","9"
"034002","RESPOP_AV","F","Y10-19","ITL","45"
"034002","RESPOP_AV","F","Y10-19","TOTAL","54"
"034002","RESPOP_AV","F","Y20-29","FRGAPO","5"
"034002","RESPOP_AV","F","Y20-29","ITL","58"
"034002","RESPOP_AV","F","Y20-29","TOTAL","63"
"034002","RESPOP_AV","F","Y30-39","FRGAPO","12"
"034002","RESPOP_AV","F","Y30-39","ITL","67"
"034002","RESPOP_AV","F","Y30-39","TOTAL","79"
"034002","RESPOP_AV","F","Y40-49","FRGAPO","18"
"034002","RESPOP_AV","F","Y40-49","ITL","91"
"034002","RESPOP_AV","F","Y40-49","TOTAL","109"
"034002","RESPOP_AV","F","Y50-59","FRGAPO","18"
"034002","RESPOP_AV","F","Y50-59","ITL","114"
"034002","RESPOP_AV","F","Y50-59","TOTAL","132"
"034002","RESPOP_AV","F","Y60-69","FRGAPO","21"
"034002","RESPOP_AV","F","Y60-69","ITL","156"
"034002","RESPOP_AV","F","Y60-69","TOTAL","177"
"034002","RESPOP_AV","F","Y70-79","FRGAPO","7"
"034002","RESPOP_AV","F","Y70-79","ITL","130"
"034002","RESPOP_AV","F","Y70-79","TOTAL","137"
"034002","RESPOP_AV","F","Y80-89","FRGAPO","1"
"034002","RESPOP_AV","F","Y80-89","ITL","142"
"034002","RESPOP_AV","F","Y80-89","TOTAL","143"
"034002","RESPOP_AV","F","Y90-99","ITL","36"
"034002","RESPOP_AV","F","Y90-99","TOTAL","36"
"034002","RESPOP_AV","M","TOTAL","FRGAPO","64"
"034002","RESPOP_AV","M","TOTAL","ITL","939"
"034002","RESPOP_AV","M","TOTAL","TOTAL","1003"
"034002","RESPOP_AV","M","Y_GE100","ITL","1"
"034002","RESPOP_AV","M","Y_GE100","TOTAL","1"
"034002","RESPOP_AV","M","Y0-9","FRGAPO","7"
"034002","RESPOP_AV","M","Y0-9","ITL","54"
"034002","RESPOP_AV","M","Y0-9","TOTAL","61"
"034002","RESPOP_AV","M","Y10-19","FRGAPO","9"
"034002","RESPOP_AV","M","Y10-19","ITL","54"
"034002","RESPOP_AV","M","Y10-19","TOTAL","63"
"034002","RESPOP_AV","M","Y20-29","FRGAPO","7"
"034002","RESPOP_AV","M","Y20-29","ITL","63"
"034002","RESPOP_AV","M","Y20-29","TOTAL","70"
"034002","RESPOP_AV","M","Y30-39","FRGAPO","11"
"034002","RESPOP_AV","M","Y30-39","ITL","73"
"034002","RESPOP_AV","M","Y30-39","TOTAL","84"
"034002","RESPOP_AV","M","Y40-49","FRGAPO","11"
"034002","RESPOP_AV","M","Y40-49","ITL","110"
"034002","RESPOP_AV","M","Y40-49","TOTAL","121"
"034002","RESPOP_AV","M","Y50-59","FRGAPO","8"
"034002","RESPOP_AV","M","Y50-59","ITL","145"
"034002","RESPOP_AV","M","Y50-59","TOTAL","153"
"034002","RESPOP_AV","M","Y60-69","FRGAPO","4"
"034002","RESPOP_AV","M","Y60-69","ITL","151"
"034002","RESPOP_AV","M","Y60-69","TOTAL","155"
"034002","RESPOP_AV","M","Y70-79","FRGAPO","5"
"034002","RESPOP_AV","M","Y70-79","ITL","169"
"034002","RESPOP_AV","M","Y70-79","TOTAL","174"
"034002","RESPOP_AV","M","Y80-89","FRGAPO","2"
"034002","RESPOP_AV","M","Y80-89","ITL","98"
"034002","RESPOP_AV","M","Y80-89","TOTAL","100"
"034002","RESPOP_AV","M","Y90-99","ITL","21"
"034002","RESPOP_AV","M","Y90-99","TOTAL","21"
"034002","RESPOP_AV","T","TOTAL","FRGAPO","161"
"034002","RESPOP_AV","T","TOTAL","ITL","1820"
"034002","RESPOP_AV","T","TOTAL","TOTAL","1981"
"034002","RESPOP_AV","T","Y_GE100","ITL","4"
"034002","RESPOP_AV","T","Y_GE100","TOTAL","4"
"034002","RESPOP_AV","T","Y0-9","FRGAPO","13"
"034002","RESPOP_AV","T","Y0-9","ITL","93"
"034002","RESPOP_AV","T","Y0-9","TOTAL","106"
"034002","RESPOP_AV","T","Y10-19","FRGAPO","18"
"034002","RESPOP_AV","T","Y10-19","ITL","99"
"034002","RESPOP_AV","T","Y10-19","TOTAL","117"
"034002","RESPOP_AV","T","Y20-29","FRGAPO","12"
"034002","RESPOP_AV","T","Y20-29","ITL","121"
"034002","RESPOP_AV","T","Y20-29","TOTAL","133"
"034002","RESPOP_AV","T","Y30-39","FRGAPO","23"
"034002","RESPOP_AV","T","Y30-39","ITL","140"
"034002","RESPOP_AV","T","Y30-39","TOTAL","163"
"034002","RESPOP_AV","T","Y40-49","FRGAPO","29"
"034002","RESPOP_AV","T","Y40-49","ITL","201"
"034002","RESPOP_AV","T","Y40-49","TOTAL","230"
"034002","RESPOP_AV","T","Y50-59","FRGAPO","26"
"034002","RESPOP_AV","T","Y50-59","ITL","259"
"034002","RESPOP_AV","T","Y50-59","TOTAL","285"
"034002","RESPOP_AV","T","Y60-69","FRGAPO","25"
"034002","RESPOP_AV","T","Y60-69","ITL","307"
"034002","RESPOP_AV","T","Y60-69","TOTAL","332"
"034002","RESPOP_AV","T","Y70-79","FRGAPO","12"
"034002","RESPOP_AV","T","Y70-79","ITL","299"
"034002","RESPOP_AV","T","Y70-79","TOTAL","311"
"034002","RESPOP_AV","T","Y80-89","FRGAPO","3"
"034002","RESPOP_AV","T","Y80-89","ITL","240"
"034002","RESPOP_AV","T","Y80-89","TOTAL","243"
"034002","RESPOP_AV","T","Y90-99","ITL","57"
"034002","RESPOP_AV","T","Y90-99","TOTAL","57"
"034003","RESPOP_AV","F","TOTAL","FRGAPO","154"
"034003","RESPOP_AV","F","TOTAL","ITL","1439"
"034003","RESPOP_AV","F","TOTAL","TOTAL","1593"
"034003","RESPOP_AV","F","Y_GE100","ITL","3"
"034003","RESPOP_AV","F","Y_GE100","TOTAL","3"
"034003","RESPOP_AV","F","Y0-9","FRGAPO","26"
"034003","RESPOP_AV","F","Y0-9","ITL","51"
"034003","RESPOP_AV","F","Y0-9","TOTAL","77"
"034003","RESPOP_AV","F","Y10-19","FRGAPO","19"
