anno_inizio,comune,pro_com_t,ordine_scuola,alunni_ritardo,alunni,quota_ritardo
2023,Varsi,034046,SCUOLA SECONDARIA I GRADO,1,26,0.038461538461538464
2023,San Secondo Parmense,034033,SCUOLA SECONDARIA I GRADO,20,187,0.10695187165775401
2023,Bardi,034002,SCUOLA SECONDARIA I GRADO,1,41,0.024390243902439025
2023,Sissa Trecasali,034049,SCUOLA SECONDARIA I GRADO,15,220,0.06818181818181818
2023,Tizzano Val Parma,034039,SCUOLA SECONDARIA I GRADO,12,52,0.23076923076923078
2023,Soragna,034036,SCUOLA PRIMARIA,5,239,0.02092050209205021
2023,Colorno,034010,SCUOLA PRIMARIA,18,395,0.04556962025316456
2023,Traversetolo,034042,SCUOLA PRIMARIA,3,384,0.0078125
2023,Roccabianca,034030,SCUOLA SECONDARIA I GRADO,6,79,0.0759493670886076
2023,Corniglio,034012,SCUOLA SECONDARIA I GRADO,7,29,0.2413793103448276
2023,Solignano,034035,SCUOLA SECONDARIA I GRADO,7,35,0.2
2023,Borgo Val di Taro,034006,SCUOLA SECONDARIA I GRADO,23,187,0.12299465240641712
2023,Pellegrino Parmense,034028,SCUOLA SECONDARIA I GRADO,3,25,0.12
2023,Colorno,034010,SCUOLA SECONDARIA I GRADO,36,262,0.13740458015267176
2023,Varano de' Melegari,034045,SCUOLA SECONDARIA I GRADO,2,101,0.019801980198019802
2023,Bedonia,034003,SCUOLA SECONDARIA I GRADO,7,112,0.0625
2023,Polesine Zibello,034050,SCUOLA PRIMARIA,5,100,0.05
2023,Berceto,034004,SCUOLA SECONDARIA I GRADO,4,31,0.12903225806451613
2023,Montechiarugolo,034023,SCUOLA SECONDARIA I GRADO,20,325,0.06153846153846154
2023,Palanzano,034026,SCUOLA SECONDARIA I GRADO,6,17,0.35294117647058826
2023,Albareto,034001,SCUOLA PRIMARIA,1,70,0.014285714285714285
2023,Felino,034013,SCUOLA PRIMARIA,7,377,0.01856763925729443
2023,Bedonia,034003,SCUOLA SECONDARIA II GRADO,61,236,0.2584745762711864
2023,Monchio delle Corti,034022,SCUOLA SECONDARIA I GRADO,0,7,0
2023,Fontanellato,034015,SCUOLA SECONDARIA I GRADO,30,175,0.17142857142857143
2023,Noceto,034025,SCUOLA PRIMARIA,18,709,0.02538787023977433
2023,Traversetolo,034042,SCUOLA SECONDARIA I GRADO,16,255,0.06274509803921569
2023,Soragna,034036,SCUOLA SECONDARIA I GRADO,5,129,0.03875968992248062
2023,Sala Baganza,034031,SCUOLA PRIMARIA,6,229,0.026200873362445413
2023,Torrile,034041,SCUOLA SECONDARIA I GRADO,12,267,0.0449438202247191
2023,Albareto,034001,SCUOLA SECONDARIA I GRADO,2,39,0.05128205128205128
2023,Fontanellato,034015,SCUOLA PRIMARIA,8,290,0.027586206896551724
2023,Fontevivo,034016,SCUOLA SECONDARIA I GRADO,4,142,0.028169014084507043
2023,Calestano,034008,SCUOLA PRIMARIA,2,90,0.022222222222222223
2024,Sissa Trecasali,034049,SCUOLA SECONDARIA I GRADO,14,220,0.06363636363636363
2024,Borgo Val di Taro,034006,SCUOLA SECONDARIA II GRADO,47,379,0.12401055408970976
2024,Torrile,034041,SCUOLA PRIMARIA,8,396,0.020202020202020204
2024,Fidenza,034014,SCUOLA SECONDARIA II GRADO,478,2440,0.1959016393442623
2024,Bedonia,034003,SCUOLA SECONDARIA II GRADO,55,216,0.25462962962962965
2024,Tizzano Val Parma,034039,SCUOLA PRIMARIA,11,99,0.1111111111111111
2024,Fontevivo,034016,SCUOLA PRIMARIA,10,258,0.03875968992248062
2024,San Secondo Parmense,034033,SCUOLA SECONDARIA II GRADO,139,632,0.2199367088607595
2024,Collecchio,034009,SCUOLA SECONDARIA I GRADO,33,435,0.07586206896551724
2024,Medesano,034020,SCUOLA PRIMARIA,11,448,0.024553571428571428
2024,Corniglio,034012,SCUOLA PRIMARIA,1,42,0.023809523809523808
2024,Langhirano,034018,SCUOLA SECONDARIA I GRADO,47,284,0.16549295774647887
2024,Fornovo di Taro,034017,SCUOLA SECONDARIA II GRADO,197,675,0.29185185185185186
2024,Sorbolo Mezzani,034051,SCUOLA SECONDARIA I GRADO,34,366,0.09289617486338798
2024,Collecchio,034009,SCUOLA PRIMARIA,20,745,0.026845637583892617
2024,Calestano,034008,SCUOLA SECONDARIA I GRADO,4,53,0.07547169811320754
2024,Lesignano de' Bagni,034019,SCUOLA SECONDARIA I GRADO,13,140,0.09285714285714286
2024,Neviano degli Arduini,034024,SCUOLA SECONDARIA I GRADO,6,68,0.08823529411764706
2024,Sissa Trecasali,034049,SCUOLA PRIMARIA,16,320,0.05
2024,Fornovo di Taro,034017,SCUOLA SECONDARIA I GRADO,47,194,0.2422680412371134
2024,San Secondo Parmense,034033,SCUOLA PRIMARIA,3,287,0.010452961672473868
2024,Borgo Val di Taro,034006,SCUOLA SECONDARIA I GRADO,25,183,0.1366120218579235
2024,Roccabianca,034030,SCUOLA PRIMARIA,4,110,0.03636363636363636
2024,Sala Baganza,034031,SCUOLA SECONDARIA I GRADO,7,153,0.0457516339869281
2024,Corniglio,034012,SCUOLA SECONDARIA I GRADO,5,23,0.21739130434782608
2024,Solignano,034035,SCUOLA SECONDARIA I GRADO,8,32,0.25
2024,Noceto,034025,SCUOLA PRIMARIA,13,680,0.01911764705882353
2024,Soragna,034036,SCUOLA PRIMARIA,7,224,0.03125
2024,Pellegrino Parmense,034028,SCUOLA SECONDARIA I GRADO,4,24,0.16666666666666666
2024,Berceto,034004,SCUOLA SECONDARIA I GRADO,1,29,0.034482758620689655
2024,Sala Baganza,034031,SCUOLA PRIMARIA,5,234,0.021367521367521368
2024,Solignano,034035,SCUOLA PRIMARIA,3,44,0.06818181818181818
2024,Fornovo di Taro,034017,SCUOLA PRIMARIA,11,222,0.04954954954954955
2024,Felino,034013,SCUOLA PRIMARIA,11,379,0.029023746701846966
2024,Fontevivo,034016,SCUOLA SECONDARIA I GRADO,6,149,0.040268456375838924
2024,Calestano,034008,SCUOLA PRIMARIA,3,105,0.02857142857142857
2024,Fontanellato,034015,SCUOLA SECONDARIA I GRADO,27,174,0.15517241379310345
2024,Tizzano Val Parma,034039,SCUOLA SECONDARIA I GRADO,11,52,0.21153846153846154
2024,Palanzano,034026,SCUOLA SECONDARIA I GRADO,10,24,0.4166666666666667
2024,Polesine Zibello,034050,SCUOLA SECONDARIA I GRADO,15,61,0.2459016393442623
2024,Albareto,034001,SCUOLA SECONDARIA I GRADO,2,39,0.05128205128205128
2024,Langhirano,034018,SCUOLA SECONDARIA II GRADO,110,300,0.36666666666666664
2024,Medesano,034020,SCUOLA SECONDARIA I GRADO,17,259,0.06563706563706563
2024,Noceto,034025,SCUOLA SECONDARIA I GRADO,16,445,0.035955056179775284
2024,Borgo Val di Taro,034006,SCUOLA PRIMARIA,12,214,0.056074766355140186
2024,Felino,034013,SCUOLA SECONDARIA I GRADO,25,261,0.09578544061302682
2024,Bardi,034002,SCUOLA SECONDARIA I GRADO,4,37,0.10810810810810811
2024,Compiano,034011,SCUOLA PRIMARIA,1,28,0.03571428571428571
2024,Langhirano,034018,SCUOLA PRIMARIA,17,484,0.03512396694214876
2024,Neviano degli Arduini,034024,SCUOLA PRIMARIA,5,95,0.05263157894736842
2024,Varano de' Melegari,034045,SCUOLA SECONDARIA I GRADO,5,88,0.056818181818181816
2024,Bedonia,034003,SCUOLA PRIMARIA,12,106,0.11320754716981132
2024,Montechiarugolo,034023,SCUOLA PRIMARIA,8,500,0.016
2024,Fontanellato,034015,SCUOLA PRIMARIA,10,278,0.03597122302158273
2024,Terenzo,034038,SCUOLA PRIMARIA,3,27,0.1111111111111111
2024,Colorno,034010,SCUOLA PRIMARIA,21,390,0.05384615384615385
2024,Varsi,034046,SCUOLA SECONDARIA I GRADO,3,22,0.13636363636363635
2024,San Secondo Parmense,034033,SCUOLA SECONDARIA I GRADO,20,185,0.10810810810810811
2024,Albareto,034001,SCUOLA PRIMARIA,1,66,0.015151515151515152
2024,Sorbolo Mezzani,034051,SCUOLA PRIMARIA,16,550,0.02909090909090909
2024,Berceto,034004,SCUOLA PRIMARIA,0,49,0
2024,Roccabianca,034030,SCUOLA SECONDARIA I GRADO,11,85,0.12941176470588237
2024,Traversetolo,034042,SCUOLA SECONDARIA I GRADO,19,246,0.07723577235772358
2024,Soragna,034036,SCUOLA SECONDARIA I GRADO,4,133,0.03007518796992481
2024,Lesignano de' Bagni,034019,SCUOLA PRIMARIA,4,206,0.019417475728155338
2024,Torrile,034041,SCUOLA SECONDARIA I GRADO,15,278,0.0539568345323741
2024,Busseto,034007,SCUOLA PRIMARIA,10,269,0.03717472118959108
2024,Pellegrino Parmense,034028,SCUOLA PRIMARIA,1,21,0.047619047619047616
2024,Varsi,034046,SCUOLA PRIMARIA,0,34,0
2024,Bardi,034002,SCUOLA PRIMARIA,0,52,0
2024,Polesine Zibello,034050,SCUOLA PRIMARIA,2,104,0.019230769230769232
2024,Varano de' Melegari,034045,SCUOLA PRIMARIA,5,125,0.04
2024,Traversetolo,034042,SCUOLA PRIMARIA,5,395,0.012658227848101266
2024,Monchio delle Corti,034022,SCUOLA SECONDARIA I GRADO,1,11,0.09090909090909091
2024,Colorno,034010,SCUOLA SECONDARIA I GRADO,32,263,0.12167300380228137
2024,Montechiarugolo,034023,SCUOLA SECONDARIA I GRADO,28,312,0.08974358974358974
2024,Bedonia,034003,SCUOLA SECONDARIA I GRADO,9,108,0.08333333333333333
2024,Palanzano,034026,SCUOLA PRIMARIA,1,28,0.03571428571428571
2024,Monchio delle Corti,034022,SCUOLA PRIMARIA,1,13,0.07692307692307693
2024,Tornolo,034040,SCUOLA PRIMARIA,1,10,0.1
